,Modelflow,Obsflow,Error,NWM_min,NWM_max,ML_1min,ML_1max
188,81.48374818,98.54262756,31.8852365,80.08999821,83.39999814,49.59851168,113.3689847
189,79.71249822,105.3386708,31.36959389,76.95999828,101.7899977,48.34290433,111.0820921
190,78.76374824,91.74658428,31.08908921,74.47999834,118.8699973,47.67465902,109.8528375
191,75.25312332,88.91489958,29.99245629,73.15999836,81.05999819,45.26066703,105.2455796
192,84.45937311,86.08321488,32.75030956,76.42999829,140.5099969,51.70906356,117.2096827
193,79.05374823,52.66933542,31.17480516,75.8799983,87.51999804,47.87894307,110.2285534
194,93.9374979,50.40398766,35.98659217,84.56999811,137.2899969,57.95090573,129.9240901
195,83.47749813,79.57034007,32.46444464,80.10999821,92.40999793,51.0130535,115.9419428
196,83.35374814,81.83568783,32.42848232,78.84999824,100.5299978,50.92526581,115.7822305
197,95.93437286,83.81786712,36.73901439,92.70999793,101.5399977,59.19535847,132.6733872
198,89.506873,86.08321488,34.317047,86.01999808,97.73999782,55.189826,123.82392
199,82.36062316,82.96836171,32.13996127,72.24999839,96.18999785,50.22066189,114.5005844
200,73.93249835,51.53666154,29.57777753,70.95999841,78.64999824,44.35472081,103.5102759
201,69.83312344,78.72083466,28.28215748,68.62999847,71.10999841,41.55096596,98.11528092
202,71.7149984,79.00400313,28.88149053,69.25999845,88.77999802,42.83350787,100.5964889
203,64.77249855,80.98618242,26.63170047,63.49999858,70.49999842,38.14079808,91.40419902
204,141.1418718,83.81786712,78.09690863,63.97999857,176.979996,63.04496322,219.2387805
205,157.2962465,50.40398766,96.00810111,146.8099967,175.4899961,61.28814538,253.3043476
206,149.1293717,48.42180837,87.16890514,140.6499969,168.9299962,61.96046653,236.2982768
207,181.053746,74.19013914,120.6830943,143.1399968,298.3799933,60.37065169,301.7368402
208,173.2174961,77.87132925,112.8104356,137.1199969,265.0299941,60.40706054,286.0279317
209,133.172497,77.30499231,67.69427568,129.6899971,142.4899968,65.47822135,200.8667727
210,125.3481222,73.34063373,59.56413329,123.1399972,127.1899972,65.78398891,184.9122555
211,117.3068724,73.05746526,50.57747915,71.20999841,138.1899969,66.72939322,167.8843515
212,83.55312313,47.28913449,32.48639971,71.03999841,114.1599974,51.06672342,116.0395228
213,87.44187305,40.77625968,33.61943021,71.12999841,108.0599976,53.82244283,121.0613033
214,97.48624782,63.99607422,37.32382268,95.08999787,99.95999777,60.16242514,134.8100705
215,91.11937296,67.39409586,34.92465347,88.86999801,93.43999791,56.19471949,126.0440264
216,72.03187339,39.6435858,28.98096696,70.58999842,73.42999836,43.05090643,101.0128403
217,68.24062347,39.07724886,27.76892766,66.87999851,69.63999844,40.47169581,96.00955114
218,65.09437355,66.26142198,26.74025744,63.48999858,67.0599985,38.3541161,91.83463099
219,62.29749861,75.60598149,25.79696387,61.01999864,65.31999854,36.50053474,88.09446248
220,60.04624866,68.52676974,25.04534192,58.74999869,63.08999859,35.00090673,85.09159058
221,57.13562372,66.26142198,24.05364677,56.07999875,58.2599987,33.08197695,81.1892705
222,71.3974984,65.1287481,28.78085569,58.59999869,78.77999824,42.61664272,100.1783541
223,76.2168733,35.11289028,30.29498458,64.89999855,135.319997,45.92188872,106.5118579
224,61.05374864,32.84754252,25.37746981,58.87999868,63.57999858,35.67627883,86.43121844
225,58.67999869,55.50102012,24.58529815,57.17999872,63.06999859,34.09470054,83.26529684
226,56.89499873,49.83765072,23.97084229,55.11999877,59.02999868,32.92415644,80.86584102
227,54.25249879,55.50102012,23.0420135,52.67999882,58.3199987,31.21048529,77.29451228
228,52.56187383,60.31488411,22.43790627,51.55999885,54.91999877,30.12396756,74.99978009
229,63.51999858,56.35052553,26.20926924,50.68999887,74.03999835,37.31072934,89.72926782
230,51.82562384,33.13071099,22.16483362,49.48999889,71.90999839,29.66079022,73.99045746
231,60.57687365,37.09506957,25.21660075,47.35999894,77.77999826,35.3602729,85.79347439
232,47.72937393,55.50102012,20.64400613,45.42999898,61.00999864,27.0853678,68.37338007
233,44.691249,56.35052553,19.51547563,43.80999902,49.44999889,25.17577337,64.20672463
234,43.19499903,50.9703246,18.95649865,42.43999905,44.719999,24.23850038,62.15149769
235,42.10062406,50.40398766,18.53896156,41.86999906,42.57999905,23.5616625,60.63958562
236,41.44437407,49.27131378,18.28833237,41.04999908,41.83999906,23.1560417,59.73270645
237,40.64249909,30.01585782,17.98210606,40.2999991,40.93999908,22.66039303,58.62460515
238,39.76874911,28.88318394,17.63218552,39.18999912,40.4099991,22.13656359,57.40093463
239,58.2574987,49.55448225,24.4398535,43.28999903,116.3699974,33.81764519,82.6973522
240,52.74249882,51.53666154,22.50496931,50.07999888,55.33999876,30.23752951,75.24746813
241,47.25999894,50.9703246,20.46966106,45.44999898,51.32999885,26.79033789,67.72966
242,47.29249894,50.12081919,20.48171647,42.95999904,72.09999839,26.81078247,67.77421541
243,43.23374903,30.86536323,18.97126332,41.21999908,55.35999876,24.26248571,62.20501235
244,44.06187402,30.58219476,19.28168975,39.58999912,79.68999822,24.78018427,63.34356376
245,40.1299991,32.84754252,17.78634399,38.98999913,52.19999883,22.34365511,57.91634309
246,38.30124914,50.12081919,16.97286159,37.78999916,39.17999912,21.32838756,55.27411073
247,38.11187415,53.8020093,16.88778311,37.58999916,41.59999907,21.22409104,54.99965726
248,38.57062414,52.38616695,17.09391095,37.79999916,42.28999905,21.47671319,55.66453509
249,41.51374907,46.15646061,18.31483543,37.34999917,59.84999866,23.19891364,59.8285845
250,40.4718741,43.32477591,17.91695714,36.60999918,61.88999862,22.55491696,58.38883124
251,38.90874913,45.3069552,17.24579886,36.36999919,52.88999882,21.66295027,56.15454799
252,42.80749904,64.56241116,18.80868748,37.46999916,57.24999872,23.99881156,61.61618652
253,46.83937395,72.77429679,20.31339481,37.57999916,77.51999827,26.52597914,67.15276877
254,53.00312382,393.6041733,22.60173991,45.87999897,64.89999855,30.4013839,75.60486373
255,51.60624885,356.7922722,22.08348744,46.83999895,59.89999866,29.52276141,73.68973628
256,57.9612487,267.0278672,24.33784261,46.93999895,71.5499984,33.62340609,82.29909132
257,59.99312366,201.8991191,25.02835982,45.60999898,85.1699981,34.96476384,85.02148347
258,86.12374807,168.2020712,33.23567569,75.55999831,116.3699974,52.88807238,119.3594238
259,118.0262474,154.6099846,51.35932446,75.00999832,330.6399926,66.66692291,169.3855718
260,93.55124791,133.6555178,35.84102929,78.10999825,138.5199969,57.71021862,129.3922772
261,78.18249825,107.8871871,30.91183782,75.29999832,88.02999803,47.27066044,109.0943361
262,83.11437314,97.97629062,32.35894993,73.56999836,97.11999783,50.75542321,115.4733231
263,148.8631217,67.11092739,86.87637419,134.599997,166.8799963,61.98674749,235.7394959
264,154.8199965,62.2970634,93.35551292,150.9599966,174.5899961,61.46448362,248.1755095
265,147.9299967,75.03964455,85.84977746,145.5999967,150.0299966,62.08021923,233.7797742
266,144.0506218,139.8852242,81.48404926,137.4699969,160.3299964,62.56657252,225.534671
267,136.184372,159.7070171,71.17043614,131.1999971,140.2099969,65.01393581,207.3548081
268,128.7393721,120.9129367,63.05244684,125.3399972,133.209997,65.68692528,191.791819
269,130.7168721,95.71094286,64.9736014,120.2899973,147.1699967,65.74327068,195.6904735
270,121.0431223,73.05746526,54.69081655,114.0099975,131.6399971,66.35230574,175.7339388
271,120.2606223,82.68519324,53.80394951,114.0899974,132.579997,66.45667281,174.0645718
272,112.6106225,111.0020402,45.50598413,110.1299975,115.0299974,67.10463836,158.1166066
273,110.1662475,95.42777439,42.76242256,106.7699976,114.3899974,67.40382498,152.9286701
274,106.4968726,108.1703555,40.68960115,103.2299977,109.7699975,65.80727147,147.1864738
275,108.8168726,114.4000619,41.52614564,102.8099977,113.9599975,67.29072693,150.3430182
276,111.6731225,75.60598149,44.46488664,108.6699976,118.2599974,67.20823587,156.1380091
277,115.6324974,118.3644205,48.76261443,108.6999976,120.3199973,66.86988299,164.3951118
278,118.4737474,159.7070171,51.84832692,112.0599975,142.1399968,66.62542043,170.3220743
279,117.5574974,135.3545287,50.84910721,109.9799975,130.2099971,66.70839017,168.4066046
280,114.2131224,136.770371,47.23085225,108.3999976,124.6599972,66.9822702,161.4439747
281,117.8049974,141.8674035,51.11754104,107.9299976,138.2699969,66.68745632,168.9225384
282,124.5099972,106.7545132,58.6153698,110.9899975,145.7599967,65.89462742,183.125367
283,117.5131224,90.6139104,50.80104321,105.4299976,142.7499968,66.71207916,168.3141656
284,117.6231224,136.2040341,50.92024013,103.4899977,140.2899969,66.70288224,168.5433625
285,125.2293722,207.845657,59.42970216,110.5899975,156.5799965,65.79967004,184.6590744
286,132.290622,186.8911902,66.67704225,123.3499972,157.1999965,65.6135798,198.9676643
287,122.8662473,176.9802938,56.75461054,119.4099973,128.3199971,66.11163672,179.6208578
288,118.3118724,142.7169089,51.67144567,114.7299974,128.0799971,66.64042669,169.983318
289,118.3087474,130.2574962,51.66804582,113.4999975,125.8099972,66.64070154,169.9767932
290,119.2512473,104.205997,52.69797385,115.2099974,129.0099971,66.55327349,171.9492212
291,119.1181223,96.56044827,52.55255833,112.8399975,133.239997,66.565564,171.6706807
292,114.5443724,165.3703865,47.58743882,110.2199975,125.2399972,66.95693362,162.1318113
293,130.2256221,190.5723803,64.49636817,116.6599974,145.9499967,65.72925392,194.7219903
294,135.283747,225.9684391,70.13287902,127.0399972,149.4399967,65.15086796,205.416626
295,135.478122,208.4119939,70.35758436,127.4999972,148.0299967,65.12053761,205.8357063
296,139.4212469,138.4693818,75.67242563,126.8499972,165.9999963,63.74882126,215.0936725
297,131.6099971,130.5406647,65.92603207,124.0199972,144.8099968,65.68396499,197.5360291
298,124.7949972,262.7803402,58.93795788,117.1599974,134.669997,65.85703933,183.7329551
299,121.4024973,526.6933542,55.09761602,114.4999974,133.359997,66.30488127,176.5001133
300,123.7181222,492.7131378,57.71895438,115.9499974,134.949997,65.99916785,181.4370766
301,127.4787472,419.0893356,61.82771981,116.5399974,143.0299968,65.65102734,189.306467
302,134.147497,257.1169708,68.81910473,126.1999972,140.1599969,65.32839227,202.9666017
303,137.9268719,246.6397374,73.35784823,127.5299971,161.2199964,64.56902369,211.2847201
304,140.5312469,509.703246,77.28085577,134.909997,153.1299966,63.25039108,217.8121026
305,135.309997,665.4459045,70.16320348,127.1299972,148.3699967,65.1467935,205.4732005
306,131.1493721,611.6438952,65.43349266,127.3599972,137.1299969,65.71587941,196.5828647
307,126.6199972,464.3962908,60.99346131,123.4699972,133.579997,65.62653586,187.6134585
308,165.1293713,356.7922722,104.3941712,124.6799972,230.9399948,60.73520007,269.5235425
309,212.1799953,281.1862907,141.7800891,178.039996,246.1099945,70.39990612,353.9600844
310,227.7212449,240.1268626,142.20433,184.4299959,261.0999942,85.51691494,369.9255749
311,230.1999949,214.6417003,142.4524915,195.6699956,252.7299944,87.74750333,372.6524864
312,229.0399949,162.2555333,142.5084382,198.7999956,261.1999942,86.53155665,371.5484331
313,250.5506194,168.7684081,142.2230977,213.8199952,289.6599935,108.3275217,392.7737171
314,262.5974941,156.025827,142.9253173,230.7699948,285.8799936,119.6721768,405.5228114
